data,projeto,financiado_por,descricao,item_cod,categoria,valor
10/10/2025,MORADA BELA,CAMURIM,TREVO FERRAGENS - FERRAGEM FUNDAÇÃO,2.5,FERRAGEM,2992
10/10/2025,MORADA BELA,CAMURIM,COMPRA DO LOTE 18AH,3.1,COMPRA DO LOTE,70000
10/10/2025,MORADA BELA,CAMURIM,PLOTAGEM DE PROJETOS - REEMBOLSO AYRSON,3.5,PLOTAGENS E IMPRESSÕES,170
10/10/2025,MORADA BELA,CAMURIM,ALUGUEIS - RETROESCAVADEIRA (LIMPEZA DO TERRENO),2.11,"LOCAÇÃO DE EQUIPAMENTOS - RETRO, MUNCK, CONTAINER, OUTROS",700
10/10/2025,MORADA BELA,CAMURIM,MADEREIRA CARPINA LTDA,2.7,MADEIRA,1800
13/10/2025,MORADA BELA,CAMURIM,1ª E 2ª CARRADAS DE AREIA,2.1,AREIA,2300
13/10/2025,MORADA BELA,CAMURIM,1ª CARRADAS DE AREIA,2.2,BRITA,1400
13/10/2025,MORADA BELA,CAMURIM,1ª CARRADA DE TIJOLOS 8.000,2.4,TIJOLO,4960
13/10/2025,MORADA BELA,CAMURIM,RR COMERCIO E SERVIÇOS - 20 SACOS DE CIMENTO,2.3,CIMENTO (50kg),690
13/10/2025,MORADA BELA,ARCA,ALUGUEIS - MOBILIZAÇÃO DO CONTAINER,2.11,"LOCAÇÃO DE EQUIPAMENTOS - RETRO, MUNCK, CONTAINER, OUTROS",1700
13/10/2025,MORADA BELA,ARCA,ALUGUEIS - DESMOBILIZAÇÃO DO CONTAINER,2.11,"LOCAÇÃO DE EQUIPAMENTOS - RETRO, MUNCK, CONTAINER, OUTROS",1700
15/10/2025,MORADA BELA,CAMURIM,LIGAÇÃO PONTO DE ENERGIA,4.1,DESPESA EXTRA,200
15/10/2025,MORADA BELA,CAMURIM,TREVO FERRAGENS - PREGOS E ARAME,2.22,"ARAME, DISCO E PREGO",314.2
15/10/2025,MORADA BELA,CAMURIM,TREVO FERRAGENS - TELA POP E CHAPA,2.5,FERRAGEM,488
16/10/2025,MORADA BELA,CAMURIM,MRE ARMAZÉM DE CONSTRUÇÃO - BALDES E CARRO DE MÃO,2.13,"FERRAMENTAS, FARDAMENTOS E EPI'S",588
16/10/2025,MORADA BELA,CAMURIM,MASSEIRAS - REEMBOLSO AYRSON,2.13,"FERRAMENTAS, FARDAMENTOS E EPI'S",280
16/10/2025,MORADA BELA,ARCA,ARMAZÉM - CAL PARA MARCAÇÃO,4.1,DESPESA EXTRA,21.9
